,title,sponsers,texts
20,NA,"[Sen. Van Hollen, Chris [D-MD]]",This bill amends the Internal Revenue Code to deny a publicly held corporation a tax deduction for the payment of performance-based remuneration in excess of $1 million to any of its current or former officers or directors if such corporation does not meet the pay fairness requirement established by this bill. The pay fairness requirement is satisfied if: (1) the average compensation paid by the employer for all applicable U.S. employees for the taxable year exceeds the inflation and productivity growth adjusted average of such compensation for the preceding taxable year; and (2) the aggregate compensation paid by the employer to or for all applicable employees for the taxable year is not less than the aggregate of such compensation for the preceding taxable year. 
21,Regulations from the Executive in Need of Scrutiny Act of 2017,"[Sen. Paul, Rand [R-KY], Sen. Blunt, Roy [R-MO], Sen. Young, Todd C. [R-IN], Sen. Rounds, Mike  [R-SD], Sen. Grassley, Chuck [R-IA], Sen. Gardner, Cory [R-CO], Sen. Ernst, Joni  [R-IA], Sen. Cotton, Tom [R-AR], Sen. Capito, Shelley Moore [R-WV], Sen. Daines, Steve [R-MT], Sen. McCain, John [R-AZ], Sen. Scott, Tim [R-SC], Sen. Cruz, Ted [R-TX], Sen. Barrasso, John [R-WY], Sen. Crapo, Mike [R-ID], Sen. Thune, John [R-SD], Sen. Inhofe, James M. [R-OK], Sen. Fischer, Deb [R-NE], Sen. Johnson, Ron [R-WI], Sen. Boozman, John [R-AR], Sen. Heller, Dean [R-NV], Sen. Sullivan, Dan  [R-AK], Sen. Enzi, Michael B. [R-WY], Sen. Lee, Mike [R-UT], Sen. Roberts, Pat [R-KS], Sen. Sasse, Ben  [R-NE], Sen. Moran, Jerry [R-KS], Sen. Cassidy, Bill [R-LA], Sen. Wicker, Roger F. [R-MS], Sen. Cornyn, John [R-TX], Sen. Risch, James E. [R-ID], Sen. Perdue, David [R-GA], Sen. Portman, Rob [R-OH], Sen. Flake, Jeff [R-AZ], Sen. Kennedy, John [R-LA], Sen. Isakson, Johnny [R-GA], Sen. Rubio, Marco [R-FL], Sen. Strange, Luther [R-AL], Sen. Toomey, Pat [R-PA]]","This bill revises provisions relating to congressional review of agency rulemaking. A federal agency promulgating a rule must publish information about the rule in the Federal Register and include in its report to Congress and to the Government Accountability Office: (1) a classification of the rule as a major or nonmajor rule, and (2) a copy of the cost-benefit analysis of the rule that includes an analysis of any jobs added or lost. "
22,Nevada Land Sovereignty Act,"[Sen. Heller, Dean [R-NV]]",This bill prohibits any extension or establishment of national monuments in Nevada except by express authorization of Congress. 
23,Biological Implant Tracking and Veteran Safety Act of 2017,"[Sen. Cassidy, Bill [R-LA], Sen. Tester, Jon [D-MT]]", This bill directs the Department of Veterans Affairs (VA) to: 
24,"A bill to expand eligibility for hospital care and medical services under section 101 of the Veterans Access, Choice, and Accountability Act of 2014 to include veterans who are age 75 or older, and for other purposes.","[Sen. Cassidy, Bill [R-LA]]", The final program report shall include the number of such veterans who are receiving care or services under the program.
25,Right Start Child Care and Education Act of 2017,"[Sen. Shaheen, Jeanne [D-NH], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Schatz, Brian [D-HI]]","This bill amends the Internal Revenue Code to: (1) increase the rates and maximum allowable amount of the tax credit for employer-provided child care facilities; (2) increase the eligibility threshold amount and rate of the household and dependent care tax credit and make such credit refundable; (3) allow a new $2,000 annual tax credit for three years for child care providers who hold a bachelor's degree in early childhood education, child care, or a related degree and who provide at least 1,200 hours of child care services in a taxable year; and (4) increase the tax exclusion for employer-provided dependent care assistance. "
26,Presidential Tax Transparency Act,"[Sen. Bennet, Michael F. [D-CO], Sen. Cardin, Benjamin L. [D-MD], Sen. Feinstein, Dianne [D-CA], Sen. Kaine, Tim [D-VA], Sen. Merkley, Jeff [D-OR], Sen. Murphy, Christopher [D-CT], Sen. Stabenow, Debbie [D-MI], Sen. Udall, Tom [D-NM], Sen. Warren, Elizabeth [D-MA], Sen. Franken, Al [D-MN], Sen. Markey, Edward J. [D-MA], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Whitehouse, Sheldon [D-RI], Sen. Carper, Thomas R. [D-DE], Sen. Leahy, Patrick J. [D-VT], Sen. Menendez, Robert [D-NJ], Sen. Cantwell, Maria [D-WA], Sen. Coons, Christopher A. [D-DE], Sen. Van Hollen, Chris [D-MD], Sen. Booker, Cory A. [D-NJ], None, Sen. Wyden, Ron [D-OR]]","This bill amends the Ethics in Government Act of 1978 to require the President and certain candidates for President to disclose federal income tax returns for the three most recent taxable years in reports filed with either the Office of Government Ethics (OGE) or the Federal Election Commission (FEC), in the case of a candidate. "
27,"A bill to establish an independent commission to examine and report on the facts regarding the extent of Russian official and unofficial cyber operations and other attempts to interfere in the 2016 United States national election, and for other purposes.","[Sen. Cardin, Benjamin L. [D-MD], Sen. Feinstein, Dianne [D-CA], Sen. Leahy, Patrick J. [D-VT], Sen. Carper, Thomas R. [D-DE], Sen. Klobuchar, Amy [D-MN], Sen. Heinrich, Martin [D-NM], Sen. Blumenthal, Richard [D-CT], Sen. Murray, Patty [D-WA], Sen. Markey, Edward J. [D-MA], Sen. Van Hollen, Chris [D-MD], Sen. Franken, Al [D-MN], Sen. Brown, Sherrod [D-OH], Sen. Warren, Elizabeth [D-MA], Sen. Murphy, Christopher [D-CT], Sen. Durbin, Richard J. [D-IL], Sen. Casey, Robert P., Jr. [D-PA], Sen. Merkley, Jeff [D-OR], Sen. Baldwin, Tammy [D-WI], Sen. Heitkamp, Heidi [D-ND], Sen. Coons, Christopher A. [D-DE], Sen. Udall, Tom [D-NM], Sen. Bennet, Michael F. [D-CO], Sen. Shaheen, Jeanne [D-NH], Sen. Duckworth, Tammy [D-IL], Sen. Nelson, Bill [D-FL], Sen. Peters, Gary C. [D-MI], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Cantwell, Maria [D-WA]]","The commission must: (1) report on evidence developed by federal agencies; (2) build upon investigations of executive branch, congressional, or independent entities; and (3) make a full accounting of interference attempts and the U.S. response, and government preparedness, to defend against such interference."
28,Health Savings Account Expansion Act of 2017,"[Sen. Flake, Jeff [R-AZ], Sen. Johnson, Ron [R-WI], Sen. Lee, Mike [R-UT]]",This bill amends the Internal Revenue Code to modify the requirements for health savings accounts (HSAs) to:
29,Fair RETIRE Act,"[Sen. Feinstein, Dianne [D-CA], Sen. Peters, Gary C. [D-MI], Sen. Hassan, Margaret Wood [D-NH], None, Sen. Tester, Jon [D-MT]]","This bill expresses the sense of Congress with respect to the retention and reappointment of law enforcement officers, customs and border protection officers, firefighters, air traffic controllers, nuclear materials couriers, members of the Capitol and Supreme Court police, Central Intelligence Agency employees or diplomatic security agents of the Department of State (covered positions) who suffer an injury or illness while serving. In developing regulations to carry out this bill, the Office of Personnel Management and the Department of Labor should ensure, to the greatest extent possible, that the reappointment of an individual to a position in the civil service that is not a covered position is with the same federal agency, in the same geographic location, and at a level of pay commensurate to the position which the individual held immediately prior to such injury or illness. "
30,Extending Justice for Sex Crime Victims Act of 2017,"[Sen. Klobuchar, Amy [D-MN], Sen. Inhofe, James M. [R-OK], Sen. Franken, Al [D-MN], Sen. Tillis, Thom [R-NC], Sen. Gillibrand, Kirsten E. [D-NY], Sen. Markey, Edward J. [D-MA], Sen. Flake, Jeff [R-AZ], Sen. Hatch, Orrin G. [R-UT], Sen. Blumenthal, Richard [D-CT], Sen. Rubio, Marco [R-FL], Sen. Murray, Patty [D-WA], None, Sen. Feinstein, Dianne [D-CA]]",This bill amends the federal criminal code to revise the statute of limitations for a victim of a human trafficking offense or federal sexual offense to file a civil action to recover damages. 
31,West Coast Ocean Protection Act of 2017,"[Sen. Cantwell, Maria [D-WA], Sen. Merkley, Jeff [D-OR], Sen. Murray, Patty [D-WA], Sen. Harris, Kamala D. [D-CA], None, Sen. Feinstein, Dianne [D-CA]]","This bill amends the Outer Continental Shelf Lands Act to prohibit the Bureau of Ocean Energy Management from issuing a lease for the exploration, development, or production of oil or natural gas in any area of the outer Continental Shelf off the coast of California, Oregon, or Washington."
32,California Desert Protection and Recreation Act of 2017,"[None, Sen. Feinstein, Dianne [D-CA]]", Specified federal land shall be taken into trust for the Lone Pine Paiute-Shoshone Tribe. 
33,Improved National Monument Designation Process Act,"[Sen. Daines, Steve [R-MT], Sen. Hatch, Orrin G. [R-UT], Sen. Heller, Dean [R-NV], Sen. Flake, Jeff [R-AZ], Sen. Lee, Mike [R-UT], Sen. McCain, John [R-AZ], Sen. Risch, James E. [R-ID], Sen. Grassley, Chuck [R-IA], Sen. Tillis, Thom [R-NC], Sen. McConnell, Mitch [R-KY], Sen. Blunt, Roy [R-MO], Sen. Inhofe, James M. [R-OK], Sen. Johnson, Ron [R-WI], Sen. Cruz, Ted [R-TX], Sen. Capito, Shelley Moore [R-WV], Sen. Wicker, Roger F. [R-MS], Sen. Sessions, Jeff [R-AL], Sen. Rubio, Marco [R-FL], Sen. Cassidy, Bill [R-LA], Sen. Crapo, Mike [R-ID], Sen. Roberts, Pat [R-KS], Sen. Cochran, Thad [R-MS], Sen. Rounds, Mike  [R-SD], Sen. Barrasso, John [R-WY], Sen. Lankford, James [R-OK], Sen. Fischer, Deb [R-NE], None, Sen. Murkowski, Lisa [R-AK]]","Before a national monument can be designated on public land, the President must obtain congressional approval, certify compliance with the National Environmental Policy Act of 1969 (NEPA), and receive notice from the governor of the state in which the monument is to be located that the state legislature has enacted legislation approving its designation. "
34,Midnight Rules Relief Act of 2017,"[Sen. Johnson, Ron [R-WI], Sen. Paul, Rand [R-KY], Sen. Enzi, Michael B. [R-WY], Sen. Rubio, Marco [R-FL], Sen. Daines, Steve [R-MT], Sen. Blunt, Roy [R-MO], Sen. Strange, Luther [R-AL]]","This bill amends the Congressional Review Act to allow Congress to consider a joint resolution to disapprove multiple regulations that federal agencies have submitted for congressional review within the last 60 legislative days of a session of Congress during the final year of a President's term. Congress may disapprove a group of such regulations together (i.e., ""en bloc"") instead of the current procedure of considering only one regulation at a time."
35,Black Hills National Cemetery Boundary Expansion Act,"[Sen. Enzi, Michael B. [R-WY], None, Sen. Thune, John [R-SD]]",This bill transfers jurisdiction over certain public land from the Department of the Interior to the Department of Veterans Affairs for inclusion in the Black Hills National Cemetery. 
36,Keep Our Communities Safe Act of 2017,"[Sen. Inhofe, James M. [R-OK], Sen. Grassley, Chuck [R-IA], Sen. Cruz, Ted [R-TX], Sen. Cotton, Tom [R-AR], Sen. Boozman, John [R-AR], Sen. Perdue, David [R-GA]]",This bill amends the Immigration and Nationality Act to revise requirements for the detention and removal of aliens ordered removed.
37,Sarah's Law,"[Sen. Sasse, Ben  [R-NE], Sen. Fischer, Deb [R-NE], Sen. Thune, John [R-SD], Sen. Roberts, Pat [R-KS], Sen. Moran, Jerry [R-KS], Sen. Cruz, Ted [R-TX], Sen. Inhofe, James M. [R-OK], Sen. Cotton, Tom [R-AR], Sen. Wicker, Roger F. [R-MS], Sen. Cassidy, Bill [R-LA], Sen. Rounds, Mike  [R-SD], Sen. Strange, Luther [R-AL], None, Sen. Ernst, Joni  [R-IA]]","This bill amends the Immigration and Nationality Act to require the detention of an alien: (1) who was not inspected and admitted into the United States, who held a revoked nonimmigrant visa (or other nonimmigrant admission document), or who is deportable for failing to maintain nonimmigrant status; and (2) who has been charged in the United States with a crime that resulted in the death or serious bodily injury of another person."
38,Economic Mobility for Productive Livelihoods and Expanding Opportunity Act of 2017,"[Sen. Rubio, Marco [R-FL]]","This bill amends the Fair Labor Standards Act of 1938 to require every employer to pay to each of his or her eligible Puerto Rican employees who in any workweek are engaged in commerce and who receive qualified wage subsidy payments minimum wages of $5.00 an hour, determined without regard to those wage subsidy payments. "
39,"S. 39, Little Shell Tribe of Chippewa Indians Restoration Act of 2017","[None, Sen. Tester, Jon [D-MT]]"," This bill extends federal recognition to the Little Shell Tribe of Chippewa Indians of Montana. The tribe and its members become eligible for services and benefits provided by the United States to federally recognized tribes and their members, without regard to the existence of a reservation or the location of the residence of any member. "
40,Middle Class Health Benefits Tax Repeal Act of 2017,"[Sen. Heller, Dean [R-NV]]","This bill amends the Internal Revenue Code to repeal, beginning with taxable years beginning after December 31, 2017, the excise tax on employer-sponsored health care coverage for which there is an excess benefit (high-cost plans). "
41,Medicare Prescription Drug Price Negotiation Act of 2017,"[Sen. Klobuchar, Amy [D-MN], Sen. Blumenthal, Richard [D-CT], Sen. Shaheen, Jeanne [D-NH], Sen. Baldwin, Tammy [D-WI], Sen. King, Angus S., Jr. [I-ME], Sen. Brown, Sherrod [D-OH], Sen. Leahy, Patrick J. [D-VT], Sen. Franken, Al [D-MN], Sen. Kaine, Tim [D-VA], Sen. Hassan, Margaret Wood [D-NH], Sen. Booker, Cory A. [D-NJ], Sen. Murphy, Christopher [D-CT], Sen. Harris, Kamala D. [D-CA], Sen. Cantwell, Maria [D-WA]]",This bill amends title XVIII (Medicare) of the Social Security Act to require the Centers for Medicare & Medicaid Services (CMS) to negotiate with pharmaceutical companies regarding prices for drugs covered under the Medicare prescription drug benefit. Current law prohibits CMS from doing so.
42,"Inspiring the Next Space Pioneers, Innovators, Researchers, and Explorers (INSPIRE) Women Act","[Sen. Heller, Dean [R-NV], Sen. Klobuchar, Amy [D-MN]]","This bill directs the National Aeronautics and Space Administration (NASA) to encourage women and girls to study science, technology, engineering, and mathematics (STEM), pursue careers in aerospace, and further advance the nation's space science and exploration efforts through support of the following initiatives: "
43,Native American Health Savings Improvement Act,"[Sen. Heller, Dean [R-NV], Sen. Heitkamp, Heidi [D-ND]]", This bill amends the Internal Revenue Code to specify that receiving hospital care or medical services under a medical care program of the Indian Health Service or a tribal organization does not disqualify an individual from being eligible for a health savings account. 
44,End Pay Discrimination Through Information Act,"[None, Sen. Heller, Dean [R-NV]]"," This bill amends the Fair Labor Standards Act of 1938 to prohibit an employer from discriminating against an employee who inquires about, discusses, or discloses the wages of the employee or another employee. This protection does not apply to an employee who has access to wage information as part of the employee's essential job functions, unless the disclosure is in response to a sex discrimination complaint or charge, or in furtherance of a sex discrimination investigation, proceeding, hearing, or action, including an investigation conducted by the employer. "
45,Kate's Law,"[Sen. Cruz, Ted [R-TX], Sen. Perdue, David [R-GA], Sen. Grassley, Chuck [R-IA], Sen. Johnson, Ron [R-WI], Sen. Rubio, Marco [R-FL], Sen. Inhofe, James M. [R-OK], Sen. Sasse, Ben  [R-NE], Sen. Wicker, Roger F. [R-MS], Sen. Boozman, John [R-AR], Sen. Cotton, Tom [R-AR], Sen. Toomey, Pat [R-PA], Sen. Roberts, Pat [R-KS], Sen. Strange, Luther [R-AL], Sen. Rounds, Mike  [R-SD], Sen. Heller, Dean [R-NV], Sen. Crapo, Mike [R-ID]]","This bill amends the Immigration and Nationality Act to increase from two years to five years the maximum prison term for an alien who re-enters after being excluded, denied admission, deported, or removed. "
46,Strengthening Medicare Intensive Cardiac Rehabilitation Programs Act of 2017,"[Sen. Bennet, Michael F. [D-CO], None, Sen. Heller, Dean [R-NV]]",This bill amends title XVIII (Medicare) of the Social Security Act to revise requirements related the approval of intensive cardiac rehabilitation programs by the Centers for Medicare & Medicaid Services (CMS) for purposes of Medicare coverage.
47,Protect Family Farms and Businesses Act,"[Sen. Rubio, Marco [R-FL], Sen. Fischer, Deb [R-NE], Sen. Moran, Jerry [R-KS], Sen. Flake, Jeff [R-AZ], Sen. Roberts, Pat [R-KS]]","This bill prohibits proposed Internal Revenue Service regulations published on August 4, 2016, relating to restrictions on liquidation of an interest with respect to estate, gift, and generation-skipping transfer taxes from taking effect. The bill prohibits funds from being used to finalize, implement, administer, or enforce the proposed regulations or any substantially similar regulations. "
48,Hearing Aid Assistance Tax Credit Act,"[Sen. Leahy, Patrick J. [D-VT], None, Sen. Heller, Dean [R-NV]]","This bill amends the Internal Revenue Code to allow a tax credit of up to $500 once every five years for the purchase of a hearing aid that is authorized under the Federal Food, Drug, and Cosmetic Act for commercial distribution and is intended for use by the taxpayer or a dependent of the taxpayer. "
49,Alaska Oil and Gas Production Act,"[None, Sen. Murkowski, Lisa [R-AK]]","This bill authorizes the exploration, leasing, development, production, and transportation of oil and gas to and from the Coastal Plain of Alaska."
50,Mobile Mammography Promotion Act of 2017,"[Sen. Heller, Dean [R-NV], Sen. Heitkamp, Heidi [D-ND]]",This bill amends the Internal Revenue Code to exempt from the motor fuel excise tax fuel used in any highway vehicle designed exclusively to provide mobile mammography services. 
51,Taking Action Against Drunk Drivers Act,"[Sen. Grassley, Chuck [R-IA], Sen. Ernst, Joni  [R-IA], Sen. McConnell, Mitch [R-KY], Sen. Lee, Mike [R-UT], Sen. Cruz, Ted [R-TX], Sen. Moran, Jerry [R-KS], Sen. Roberts, Pat [R-KS], Sen. Shelby, Richard C. [R-AL], Sen. Inhofe, James M. [R-OK], Sen. Wicker, Roger F. [R-MS], Sen. Hatch, Orrin G. [R-UT], Sen. Cotton, Tom [R-AR], Sen. Perdue, David [R-GA]]","This bill amends the Immigration and Nationality Act to require the mandatory detention of an alien who: (1) was not lawfully admitted into the United States, held a revoked nonimmigrant visa, or violated his or her nonimmigrant status; and (2) has a pending federal or state charge of driving under the influence or driving while intoxicated, regardless of whether the offense is classified as a felony or a misdemeanor."
52,"A bill to make aliens associated with a criminal gang inadmissible, deportable, and ineligible for various forms of relief.","[Sen. Cruz, Ted [R-TX], Sen. Inhofe, James M. [R-OK], Sen. Boozman, John [R-AR], Sen. Cotton, Tom [R-AR], None, Sen. Grassley, Chuck [R-IA]]","An alien who is or was a member of a criminal gang, or who participated in gang activity knowing that such participation will promote the gang's illegal activity, shall be inadmissible and deportable."
53,"Tsunami Warning, Education, and Research Act of 2017","[Sen. Cantwell, Maria [D-WA], Sen. Sullivan, Dan  [R-AK], Sen. Schatz, Brian [D-HI], Sen. Murkowski, Lisa [R-AK]]", This bill revises and reauthorizes through FY2021 the Tsunami Warning and Education Act.
54,Protect American Families Act,"[Sen. Schatz, Brian [D-HI], Sen. Markey, Edward J. [D-MA], Sen. Murray, Patty [D-WA], Sen. Sanders, Bernard [I-VT], Sen. Leahy, Patrick J. [D-VT], Sen. Merkley, Jeff [D-OR], Sen. Hirono, Mazie K. [D-HI], Sen. Wyden, Ron [D-OR], Sen. Cantwell, Maria [D-WA], Sen. Carper, Thomas R. [D-DE], Sen. Franken, Al [D-MN], Sen. Coons, Christopher A. [D-DE], None, Sen. Booker, Cory A. [D-NJ]]","This bill prohibits: (1) the Department of Homeland Security, the Department of Justice, or any other federal department from creating or implementing a law enforcement or national security program that requires or causes people to register or check in on the basis of religion, race, age, gender, ethnicity, national origin, nationality, or citizenship; and (2) federal funds from being used to create or implement an immigration registry or check-in program."
55,"S. 55, Fort Ontario Study Act","[Sen. Gillibrand, Kirsten E. [D-NY], Sen. Schumer, Charles E. [D-NY]]","This bill directs the Department of the Interior to conduct a special resource study of Fort Ontario in Oswego, New York. "
56,RED Tape Act of 2017,"[Sen. Paul, Rand [R-KY], Sen. McConnell, Mitch [R-KY], Sen. Hatch, Orrin G. [R-UT], Sen. Cornyn, John [R-TX], Sen. Kennedy, John [R-LA], Sen. Blunt, Roy [R-MO], Sen. Isakson, Johnny [R-GA], Sen. Johnson, Ron [R-WI], Sen. Rounds, Mike  [R-SD], Sen. Young, Todd C. [R-IN], Sen. Inhofe, James M. [R-OK], Sen. Daines, Steve [R-MT], Sen. Barrasso, John [R-WY], Sen. Perdue, David [R-GA], Sen. Boozman, John [R-AR], Sen. Burr, Richard [R-NC], None, Sen. Sullivan, Dan  [R-AK]]","This bill prohibits a federal agency from issuing a rule that causes a new financial or administrative burden on businesses or people in the United States unless the agency has repealed or amended two or more existing rules causing such a burden and the cost of the rule to be issued is less than or equal to that of the rules repealed or amended. The bill exempts a rule that: (1) relates to the internal policy or practice of, or procurement by, the agency; or (2) is being revised to be less burdensome by decreasing requirements imposed by, or compliance costs of, the rule."
57,"A bill to require the Secretary of Veterans Affairs to revoke bonuses paid to employees involved in electronic wait list manipulations, and for other purposes","[Sen. Grassley, Chuck [R-IA], Sen. Daines, Steve [R-MT], Sen. Flake, Jeff [R-AZ], Sen. Johnson, Ron [R-WI], Sen. Enzi, Michael B. [R-WY], Sen. Thune, John [R-SD], Sen. Lankford, James [R-OK], None, Sen. Cassidy, Bill [R-LA]]","If an adverse finding is made, the VA, after providing notice and an opportunity for a hearing, shall direct the employee to repay any bonus received during the year in which the adverse finding is made, unless such finding is found to have been made in error. "
58,Middle Class Health Benefits Tax Repeal Act of 2017,"[Sen. Heller, Dean [R-NV], Sen. Heinrich, Martin [D-NM], Sen. Flake, Jeff [R-AZ], Sen. Cortez Masto, Catherine  [D-NV], Sen. Blunt, Roy [R-MO], Sen. Murkowski, Lisa [R-AK], Sen. Duckworth, Tammy [D-IL], Sen. Donnelly, Joe [D-IN], Sen. Gardner, Cory [R-CO], Sen. Portman, Rob [R-OH], Sen. Shaheen, Jeanne [D-NH], Sen. Scott, Tim [R-SC], Sen. Stabenow, Debbie [D-MI], Sen. Sullivan, Dan  [R-AK], Sen. Peters, Gary C. [D-MI], Sen. Hassan, Margaret Wood [D-NH], Sen. Brown, Sherrod [D-OH], Sen. Wicker, Roger F. [R-MS], Sen. Boozman, John [R-AR], Sen. Inhofe, James M. [R-OK], Sen. Hirono, Mazie K. [D-HI], Sen. Casey, Robert P., Jr. [D-PA], Sen. Young, Todd C. [R-IN], Sen. Ernst, Joni  [R-IA], Sen. Blumenthal, Richard [D-CT]]","This bill amends the Internal Revenue Code to repeal, beginning with taxable years beginning after December 31, 2017, the excise tax on employer-sponsored health care coverage for which there is an excess benefit (high-cost plans). "
59,Hearing Protection Act of 2017,"[Sen. Crapo, Mike [R-ID], Sen. Moran, Jerry [R-KS], Sen. Paul, Rand [R-KY], Sen. Cornyn, John [R-TX], Sen. Risch, James E. [R-ID], Sen. Fischer, Deb [R-NE], Sen. Wicker, Roger F. [R-MS], Sen. Rounds, Mike  [R-SD], Sen. Cassidy, Bill [R-LA], Sen. Roberts, Pat [R-KS], Sen. Kennedy, John [R-LA], Sen. Daines, Steve [R-MT], Sen. Cotton, Tom [R-AR], Sen. Isakson, Johnny [R-GA], Sen. Cruz, Ted [R-TX], Sen. Strange, Luther [R-AL], Sen. Lee, Mike [R-UT], Sen. Heller, Dean [R-NV], Sen. Boozman, John [R-AR]]","This bill amends the Internal Revenue Code to: (1) eliminate the $200 transfer tax on firearm silencers, and (2) treat any person who acquires or possesses a firearm silencer as meeting any registration or licensing requirements of the National Firearms Act with respect to such silencer. Any person who pays a transfer tax on a silencer after January 9, 2017, may receive a refund of such tax. "
60,"A bill to designate the Federal building and United States courthouse located at 719 Church Street in Nashville, Tennessee, as the ""Fred D. Thompson Federal Building and United States Courthouse"".","[None, Sen. Alexander, Lamar [R-TN]]",NA
